Semaine,Mashable: (Dans tous les pays)
2013-01-06,58
2013-01-13,61
2013-01-20,56
2013-01-27,58
2013-02-03,57
2013-02-10,63
2013-02-17,62
2013-02-24,56
2013-03-03,64
2013-03-10,60
2013-03-17,54
2013-03-24,54
2013-03-31,45
2013-04-07,50
2013-04-14,55
2013-04-21,53
2013-04-28,50
2013-05-05,51
2013-05-12,44
2013-05-19,54
2013-05-26,49
2013-06-02,48
2013-06-09,55
2013-06-16,51
2013-06-23,45
2013-06-30,48
2013-07-07,48
2013-07-14,54
2013-07-21,51
2013-07-28,49
2013-08-04,48
2013-08-11,57
2013-08-18,47
2013-08-25,59
2013-09-01,53
2013-09-08,60
2013-09-15,53
2013-09-22,54
2013-09-29,48
2013-10-06,51
2013-10-13,50
2013-10-20,58
2013-10-27,49
2013-11-03,46
2013-11-10,54
2013-11-17,58
2013-11-24,43
2013-12-01,51
2013-12-08,56
2013-12-15,52
2013-12-22,43
2013-12-29,44
2014-01-05,60
2014-01-12,57
2014-01-19,50
2014-01-26,52
2014-02-02,48
2014-02-09,53
2014-02-16,52
2014-02-23,49
2014-03-02,54
2014-03-09,54
2014-03-16,54
2014-03-23,47
2014-03-30,51
2014-04-06,100
2014-04-13,83
2014-04-20,53
2014-04-27,60
2014-05-04,50
2014-05-11,48
2014-05-18,56
2014-05-25,47
2014-06-01,57
2014-06-08,50
2014-06-15,47
2014-06-22,52
2014-06-29,42
2014-07-06,49
2014-07-13,51
2014-07-20,43
2014-07-27,48
2014-08-03,48
2014-08-10,45
2014-08-17,49
2014-08-24,48
2014-08-31,53
2014-09-07,66
2014-09-14,57
2014-09-21,50
2014-09-28,43
2014-10-05,46
2014-10-12,47
2014-10-19,48
2014-10-26,46
2014-11-02,46
2014-11-09,44
2014-11-16,48
2014-11-23,37
2014-11-30,42
2014-12-07,46
2014-12-14,45
2014-12-21,33
